id,tvg-id,tvg-name,tvg-logo,group-title,title,address,hd
61,57,新疆卫视,http://epg.51zmt.top:8000/tb1/ws/xinjiang.png,卫视,新疆卫视,239.93.0.194:5140,0
62,58,云南卫视,http://epg.51zmt.top:8000/tb1/ws/yunnan.png,卫视,云南卫视,239.93.0.174:5140,0
63,59,青海卫视,http://epg.51zmt.top:8000/tb1/ws/qinghai.png,卫视,青海卫视,239.93.0.192:5140,0
64,70,康巴卫视,http://epg.51zmt.top:8000/tb1/ws/kangba.png,卫视,康巴卫视,239.93.0.41:5140,1
65,71,西藏卫视,http://epg.51zmt.top:8000/tb1/ws/xizang.png,卫视,西藏卫视,239.93.0.175:5140,0
66,141,凤凰中文,http://epg.51zmt.top:8000/tb1/gt/fenghuangzhongwen.png,卫视,凤凰卫视中文台,239.93.0.162:2192,1
67,142,凤凰资讯,http://epg.51zmt.top:8000/tb1/gt/fenghuangzixun.png,卫视,凤凰卫视资讯台,239.93.0.118:2191,1
68,,,,其它,熊猫体娱,239.93.0.94:5140,1
69,,,,其它,熊猫卡通,239.93.1.172:5140,1
70,,,,其它,熊猫少儿,239.93.1.189:5140,1
71,,,,其它,熊猫影院,239.93.0.214:5140,1
72,,,,其它,熊猫新闻,239.93.1.112:5140,1
73,,,,其它,熊猫爱生活,239.93.1.190:5140,1
74,,,,其它,熊猫频道,239.93.0.211:9148,1
75,,,,其它,花儿高清电影,239.93.0.224:1281,1
76,,,,其它,百视通体育,239.93.1.184:5140,1
77,,,,其它,爱上4K(超高清),239.93.1.113:5140,2
78,73,中国教育1台,http://epg.51zmt.top:8000/tb1/qt/中国教育1台.png,其它,中国教育-1,239.93.1.111:5140,1
